[INFO ] 01:05:27.168 c.o.oddProject.OddProjectApplication - Starting OddProjectApplication using Java 11.0.19 on Seounggyuns-MacBook-Pro.local with PID 23928 (/Users/han/oddProjectBack/out/production/classes started by han in /Users/han/oddProjectBack)
[INFO ] 01:05:27.170 c.o.oddProject.OddProjectApplication - The following 1 profile is active: "local"
[INFO ] 01:05:27.776 o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[INFO ] 01:05:27.784 o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[INFO ] 01:05:27.784 o.a.catalina.core.StandardService - Starting service [Tomcat]
[INFO ] 01:05:27.784 o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
[INFO ] 01:05:27.838 o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[INFO ] 01:05:27.838 o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 645 ms
[INFO ] 01:05:28.131 o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
[INFO ] 01:05:28.251 o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[INFO ] 01:05:28.269 o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[INFO ] 01:05:28.276 c.o.oddProject.OddProjectApplication - Started OddProjectApplication in 6.458 seconds (JVM running for 6.704)
[INFO ] 01:05:28.287 com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[INFO ] 01:05:28.491 com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[INFO ] 01:05:28.515 c.o.o.batch.BatchOddLocation - delete >> 3719
[INFO ] 01:05:28.516 c.o.o.batch.BatchOddLocation - >>true
[INFO ] 01:05:28.516 c.o.o.batch.BatchOddLocation - inUpdateQuery
[INFO ] 01:05:28.570 c.o.oddProject.dto.OpenApiManagerDto - makeUrl>>https://api.odcloud.kr/api/15068871/v1/uddi:672059d4-1830-44af-97dd-cf0954b2ee86?page=1&perPage=10&serviceKey=Z%2BQodRDulSnhc%2FQPPMSjFBJmRBoB2lmzYIoADFND8d%2Fv7M%2BrFCLklDNG2HS7BZjwCGdMARLWssYcIL5pzX%2FgSw%3D%3D
[INFO ] 01:05:28.753 c.o.oddProject.dto.OpenApiManagerDto - perPage : 720
[INFO ] 01:05:28.753 c.o.oddProject.dto.OpenApiManagerDto - makeUrl>>https://api.odcloud.kr/api/15068871/v1/uddi:672059d4-1830-44af-97dd-cf0954b2ee86?page=1&perPage=720&serviceKey=Z%2BQodRDulSnhc%2FQPPMSjFBJmRBoB2lmzYIoADFND8d%2Fv7M%2BrFCLklDNG2HS7BZjwCGdMARLWssYcIL5pzX%2FgSw%3D%3D
[INFO ] 01:05:28.842 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20다길 3
[INFO ] 01:05:28.842 c.o.oddProject.dto.OpenApiManagerDto - 구로동로28길 58
[INFO ] 01:05:28.842 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20다길 28-14
[INFO ] 01:05:28.842 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20다길 22-10
[INFO ] 01:05:28.843 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20나길 22-2
[INFO ] 01:05:28.843 c.o.oddProject.dto.OpenApiManagerDto - 구로동로 221-1
[INFO ] 01:05:28.843 c.o.oddProject.dto.OpenApiManagerDto - 구로동로 205
[INFO ] 01:05:28.843 c.o.oddProject.dto.OpenApiManagerDto - 구로동로43길 24
[INFO ] 01:05:28.843 c.o.oddProject.dto.OpenApiManagerDto - 구로동로43길 40
[INFO ] 01:05:28.843 c.o.oddProject.dto.OpenApiManagerDto - 가마산로 134
[INFO ] 01:05:28.843 c.o.oddProject.dto.OpenApiManagerDto - 가마산로 174-9
[INFO ] 01:05:28.843 c.o.oddProject.dto.OpenApiManagerDto - 구로동로35길 22
[INFO ] 01:05:28.843 c.o.oddProject.dto.OpenApiManagerDto - 구로동로35길 16
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로35길 13
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 벚꽃로74길 20
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로41길 58
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로41길 65
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 가마산로11길 10
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 가마산로9길 8-21
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 가마산로 175
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 가마산로7길 13
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 가마산로5길 13
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 가마산로 153-7
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로17길 57-8
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로17길 56-5
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로17길 46
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로17길 40
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로17길 37-54
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 벚꽃로 39
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 벚꽃로 398
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 가마산로 159-14
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 벚꽃로 414-1
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 벚꽃로68길 5
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 벚꽃로 446
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로48길 18
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 벚꽃로74길 1
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로43길 41
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로43길 31
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로43길 17
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로43길 13
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로42길 15
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로 210-10
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로27다길 1
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로27길 66
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 벚꽃로 466
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 벚꽃로 468
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 벚꽃로76길 4
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 벚꽃로78길 2
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 벚꽃로 484
[INFO ] 01:05:28.844 c.o.oddProject.dto.OpenApiManagerDto - 구로동로45길 26
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로동로45길 14
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로동로47길 10-5
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로동로 224
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로동로 230-1
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로동로50길 9
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로27길 18
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로27길 21
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로 103
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로27가길 23
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로27가길 13
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로27나길 16
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로동로40길 4
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로동로40나길 9
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로27나길 32
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로21길 10-15
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로21길 10
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로21길 40
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로21길 58
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로21길 72
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 가마산로19길 25
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로동로38길 46
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 가마산로22길 48
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20라길 20-7
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20다길 14-14
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20길 43
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 구로동로28길 33-41
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 가마산로15길 6-2
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20나길 22-2
[INFO ] 01:05:28.845 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20다길 28-13
[INFO ] 01:05:28.846 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20다길 22-10
[INFO ] 01:05:28.846 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20다길 3
[INFO ] 01:05:28.846 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20길 19
