행정동,주 소
답십리1동,서울 동대문구 답십리로30길 49
답십리1동,서울 동대문구 답십리동 471
답십리1동,서울 동대문구 황물로 125
답십리1동,서울 동대문구 황물로 111
답십리1동,서울 동대문구 고미술로 16
답십리1동,서울 동대문구 황물로 101
답십리1동,서울 동대문구 천호대로67길 43
답십리1동,서울 동대문구 천호대로71길 44
답십리1동,서울 동대문구 사가정로2길 100
답십리1동,서울 동대문구 황물로11길 23
답십리1동,서울 동대문구 전농로3길 40
답십리1동,서울 동대문구 전농로3길 68-1
답십리1동,서울 동대문구 전농로 79-17
답십리1동,서울 동대문구 답십리로40길 7
답십리1동,서울 동대문구 답십리로38길 27
답십리1동,서울 동대문구 답십리로38길 37
답십리1동,서울 동대문구 답십리로30길 44
답십리1동,서울 동대문구 답십리로30길 6
답십리2동,서울 동대문구 답십리로52길 26
답십리2동,서울 동대문구 답십리로56길 52
답십리2동,서울 동대문구 답십리로56길 90
답십리2동,서울 동대문구 답십리로56길 98
답십리2동,서울 동대문구 황물로15길 10
답십리2동,서울 동대문구 황물로15길 14
답십리2동,서울 동대문구 황물로15길 34
답십리2동,서울 동대문구 황물로15다길 1
답십리2동,서울 동대문구 한천로11길 51
답십리2동,서울 동대문구 한천로11길 18
답십리2동,서울 동대문구 답십리로60길 92
답십리2동,서울 동대문구 답십리로60길 43-2
답십리2동,서울 동대문구 답십리로59길 27
답십리2동,서울 동대문구 답십리로59길 57
장안1동,서울 동대문구 장안동 480-17
장안1동,서울 동대문구 장한로2길 80
장안1동,서울 동대문구 장한로8길 84
장안1동,서울 동대문구 장한로10길 63
장안1동,서울 동대문구 천호대로91길 32
장안1동,서울 동대문구 장안동 480-10
장안1동,서울 동대문구 장안동 437-1
장안1동,서울 동대문구 장한로8길 5
장안1동,서울 동대문구 장한로 34
장안1동,서울 동대문구 장한로9길 22
장안1동,서울 동대문구 한천로18길 55
장안1동,서울 동대문구 장한로17길 25
장안1동,서울 동대문구 답십리로68길 104
장안1동,서울 동대문구 답십리로68길 24
장안1동,서울 동대문구 답십리로68길 67
장안1동,서울 동대문구 한천로26길 50
장안1동,서울 동대문구 답십리로64길 22
장안1동,서울 동대문구 장한로18길 26-12
장안1동,서울 동대문구 장한로18길 26-5
장안1동,서울 동대문구 장한로26다길 115-3
장안1동,서울 동대문구 장한로14길 80
장안1동,서울 동대문구 장한로12길 62
장안1동,서울 동대문구 장한로12길 79
장안1동,서울 동대문구 장한로10길 73
장안1동,서울 동대문구 장한로10길 48
장안1동,서울 동대문구 천호대로89길 36
장안1동,서울 동대문구 장한로8길 23-1
장안1동,서울 동대문구 한천로72-31
장안1동,서울 동대문구 장한로10길25-2
장안1동,서울 동대문구 장한로10길 40
장안1동,서울 동대문구 한천로12길90
장안2동,서울 동대문구 장한로26다길 36
장안2동,서울 동대문구 사가정로23가길 51
장안2동,서울 동대문구 사가정로25가길 39
장안2동,서울 동대문구 사가정로25가길 25
장안2동,서울 동대문구 사가정로25가길 9
장안2동,서울 동대문구 사가정로23길 64
장안2동,서울 동대문구 사가정로23가길 7
장안2동,서울 동대문구 장한로26길 24
장안2동,서울 동대문구 장한로26다길 7
장안2동,서울 동대문구 장한로24길 27
장안2동,서울 동대문구 장한로22길 19
장안2동,서울 동대문구 장한로26다길 77
장안2동,서울 동대문구 장한로20길 26
장안2동,서울 동대문구 장한로20길 15
장안2동,서울 동대문구 장한로36길 32
장안2동,서울 동대문구 장한로27나길 87
장안2동,서울 동대문구 장한로33길 19
장안2동,서울 동대문구 장한로33길 8
장안2동,서울 동대문구 장한로34길 5
장안2동,서울 동대문구 장한로32길 27
장안2동,서울 동대문구 답십리로63길 48
장안2동,서울 동대문구 답십리로65길 39
장안2동,서울 동대문구 장한로28가길 17
장안2동,서울 동대문구 장안동 476-7
장안2동,서울 동대문구 장한로28가길 1
장안2동,서울 동대문구 한천로28길 27
장안2동,서울 동대문구 장안동327
전농동,서울 동대문구 전농로38나길 5
전농동,서울 동대문구 전농로36가길 23-1
전농동,서울 동대문구 답십리로23길 120
전농동,서울 동대문구 답십리로15길 32
전농동,서울 동대문구 답십리로15길 30
전농동,서울 동대문구 서울시립대로5길 4
전농동,서울 동대문구 답십리로23길 55
전농동,서울 동대문구 답십리로29길 57
전농동,서울 동대문구 답십리로23다길 27
전농동,서울 동대문구 전농로23길 17
전농동,서울 동대문구 전농로29길 35
전농동,서울 동대문구 전농로23길 8
전농동,서울 동대문구 전농로16길 61(정문 맞은편)
전농동,서울 동대문구 한천로43길 25
전농동,서울 동대문구 한천로41길 6
전농동,서울 동대문구 한천로33가길 17
전농동,서울 동대문구 한천로33가길 17-2
전농동,서울 동대문구 전농로14길 11-6
전농동,서울 동대문구 전농로14길 41
전농동,서울 동대문구 사가정로17길 21
전농동,서울 동대문구 사가정로15길 20
전농동,서울 동대문구 전농로20길 16
전농동,서울 동대문구 전농로30길 20
전농동,서울 동대문구 전농로36길 28
전농동,서울 동대문구 전농로34길 25
전농동,서울 동대문구 서울시립대로29길 24
전농동,서울 동대문구 서울시립대로29길 70
전농동,서울 동대문구 전농로38길 46
전농동,서울 동대문구 전농로38길 30
전농동,서울 동대문구 전농로38길 24
전농동,서울 동대문구 전농로38길 18
전농동,서울 동대문구 전농로38가길 4
전농동,서울 동대문구 전농로37길 83
전농동,서울 동대문구 전농로38길 2
용신동,서울 동대문구 천호대로45길 95
용신동,서울 동대문구 천호대로45길 75
용신동,서울 동대문구 천호대로45길 61
용신동,서울 동대문구 천호대로45길 51
용신동,서울 동대문구 천호대로45길 39
용신동,서울 동대문구 천호대로45길 29
용신동,서울 동대문구 천호대로45길 3
용신동,서울 동대문구 왕산로28길 39
용신동,서울 동대문구 고산자로30길 13
용신동,서울 동대문구 고산자로30길 29
용신동,서울 동대문구 고산자로28가길 1
용신동,서울 동대문구 천호대로29가길 1
용신동,서울 동대문구 천호대로35길 1
용신동,서울 동대문구 천호대로27길 4
용신동,서울 동대문구 천호대로25길 5
용신동,서울 동대문구 천호대로25길 17
용신동,서울 동대문구 천호대로25길 29
용신동,서울 동대문구 천호대로25길 37
용신동,서울 동대문구 천호대로25길 49
용신동,서울 동대문구 천호대로25길 59
용신동,서울 동대문구 천호대로25길 68
용신동,서울 동대문구 천호대로25길 73
용신동,서울 동대문구 무학로32길 27
용신동,서울 동대문구 무학로30길 26
용신동,서울 동대문구 무학로30길 8
용신동,서울 동대문구 무학로30길 46
용신동,서울 동대문구 고산자로33길 15
용신동,서울 동대문구 천호대로27길 56
용신동,서울 동대문구 천호대로27길 17
용신동,서울 동대문구 무학로 182
용신동,서울 동대문구 무학로 163
용신동,서울 동대문구 한빛로 61
용신동,서울 동대문구 한빛로 48-2
용신동,서울 동대문구 한빛로 39
용신동,서울 동대문구 한빛로 33-2
용신동,서울 동대문구 한빛로 13
용신동,서울 동대문구 한빛로1길 12
용신동,서울 동대문구 안암로6길 19
용신동,서울 동대문구 무학로49길 94
용신동,서울 동대문구 무학로49길 75
용신동,서울 동대문구 무학로49길 58
용신동,서울 동대문구 안암로14길 11
용신동,서울 동대문구 안암로 40
용신동,서울 동대문구 안암로 58
용신동,서울 동대문구 무학로 197
용신동,서울 동대문구 무학로37길 8
